"source","facility_type","name","lat","lon","address"
"Schools","private school","Circle of Mercy Day Nursery",41.6754413065547,-86.2568786647202,"South Taylor Street, Near West Side, South Bend, Saint Joseph County, Indiana, 46601, United States"
"Schools","private school","El Campito",41.6739918003036,-86.2648874737593,"Thomas Street, Near West Side, South Bend, Saint Joseph County, Indiana, 46601, United States"
"Schools","private school","Emanuel Day Care MInistry",41.6792722667119,-86.2564252843738,"West LaSalle Avenue, Near West Side, South Bend, Saint Joseph County, Indiana, 46616, United States"
"Schools","private school","God's Little Creation",41.6800032136031,-86.2576102252004,"436, Lincolnway West, Near West Side, South Bend, Saint Joseph County, Indiana, 46601, United States"
"Schools","private school","Kidz Kompany",41.6940048553355,-86.2906239183312,"2953, Elwood Avenue, South Bend, Saint Joseph County, Indiana, 46628, United States"
"Schools","private school","La Petite Academy",41.6825409794291,-86.2491985212577,"SR 933;BUS US 31, South Bend, Saint Joseph County, Indiana, 46617, United States"
"Schools","private school","Kingdom Christian Center Daycare Ministry",41.6941007995872,-86.2810174274269,"2179, Elwood Avenue, South Bend, Saint Joseph County, Indiana, 46628, United States"
"Schools","private school","Macedonia Missionary Baptist Church Day Care",41.7010271564479,-86.2835564134588,"North Olive Street, South Bend, Saint Joseph County, Indiana, 46616, United States"
"Schools","private school","Southeast Christian Learning Center",41.6593527018668,-86.2465766568634,"Gloria Dei Lutheran Church, Carroll Street, Southeast, South Bend, Saint Joseph County, Indiana, 46613, United States"
"Schools","private school","Sweet Home Daycare Ministry",41.6717384596579,-86.2567927454393,"410, South Taylor Street, Near West Side, South Bend, Saint Joseph County, Indiana, 46601, United States"
"Schools","private school","The ABC Place",41.6801969829969,-86.2714398333065,"338, Studebaker Street, Kennedy Park, South Bend, Saint Joseph County, Indiana, 46628, United States"
"Schools","private school","Three Bears Day Care",41.6898709785472,-86.2833927353433,"1128, North Olive Street, South Bend, Saint Joseph County, Indiana, 46628, United States"
"Schools","private school","Vision Day Care",41.687102523749,-86.2785872647655,"California Avenue, Kennedy Park, South Bend, Saint Joseph County, Indiana, 46616, United States"
"Schools","private school","YMCA Learning Land",41.6629326138013,-86.23190884998,"Northside Boulevard, Edgewater, South Bend, Saint Joseph County, Indiana, 46615, United States"
"Schools","private school","American National University",41.674815536089,-86.235833193206,"East Jefferson Boulevard, Edgewater, South Bend, Saint Joseph County, Indiana, 46615, United States"
"Schools","private school","Brown Mackie College",41.7079233785603,-86.1999327511728,"Mc Erlain Street, South Bend, Saint Joseph County, Indiana, 46635, United States"
"Schools","public school","Coquillard Primary Center",41.690361677839,-86.3041980915878,"Alexis Coquillard Elementary School, Grove Street, South Bend, Saint Joseph County, Indiana, 46628, United States"
"Schools","public school","Perley Primary Fine Arts Academy",41.6855792643068,-86.2317420410455,"Campeau Street, South Bend, Saint Joseph County, Indiana, 46617, United States"
"Schools","public school","Riley High School",41.654015802942,-86.2424674244974,"James Whitcomb Riley High School, Rush Street, Southeast, South Bend, Saint Joseph County, Indiana, 46613, United States"
"Schools","private school","St. Mary of the Assumption School",41.640028467724,-86.2803202024611,"Locust Road, South Bend, Saint Joseph County, Indiana, 46614, United States"
"Schools","private school","Ironwood Christian School",41.6281942571045,-86.2180643527044,"Saint Joseph Valley Parkway, South Bend, Saint Joseph County, Indiana, 46540, United States"
